model,accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive
Random Forest,0.7467532467532467,0.6666666666666666,0.5555555555555556,0.85,0.6060606060606061,0.8160185185185184,85,15,24,30
Logistic Regression,0.7077922077922078,0.6,0.5,0.82,0.5454545454545454,0.812962962962963,82,18,27,27
Support Vector Machine,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.84,0.6,0.7963888888888889,84,16,24,30
