feature,importance
Glucose,0.2612961243406075
BMI,0.1655223278231906
Age,0.12827161119018435
DiabetesPedigreeFunction,0.11970524467152922
Insulin,0.09689056755551714
BloodPressure,0.08237252156055432
Pregnancies,0.07302877081484115
SkinThickness,0.07291283204357578
